Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Decision Support System for Robotic Soccer - 2.;Krajník, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;58;1. vydání;2005;Czech Technical University in Prague;ČR;;;2005;;;;;;volná;;;;;;;
Decision Support System for Robotic Soccer - 1.;Krajník, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;58;1. vydání;2005;Czech Technical University in Prague;ČR;;;;;;;;;volná;;;;;;;
Databázový výukový program - Diagnostické zobrazování II.;Čanda, Ludvík;;diplomová / bakalářská práce;Katedra;;;;;58;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně CD;;volná;;;;;;;
Databázový výukový program - Diagnostické zobrazování I.;Čanda, Ludvík;;diplomová / bakalářská práce;Katedra;;;;;58;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Data mining a vizualizace - 2.;Huptych, Michal;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2005;Czech Technical University in Prague;ČR;;;2005;;;;vč.CD;;volná;;;;;;;
Data mining a vizualizace - 1.;Huptych, Michal;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2005;Czech Technical University in Prague;ČR;;;;;;;vč.CD;;volná;;;;;;;
Automated Diagnosis system for sleep apnea classification - II.;Pozzo Mendoza, Paula Tamara;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně 2CD;;volná;;;;;;;
Automated Diagnosis system for sleep apnea classification - I.;Pozzo Mendeoza, Paula Tamara;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně 2CD;;volná;;;;;;;
Aplikátor pro mikrovlnnou intrakavitární termoterapii - II.;Matyáš, Miroslav;;diplomová / bakalářská práce;Katedra;;;;;61;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně CD;;volná;;;;;;;
Aplikátor pro mikrovlnnou intrakavitární termoterapii - I.;Matyáš, Miroslav;;diplomová / bakalářská práce;Katedra;;;;;61;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně CD;;volná;;;;;;;
