Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;Extra1;Extra2;Extra3;Extra4;Extra5;StsCheck;StsUK;
Computer Vision and Image Understanding Vol.99;;;Journal;CMP;661040;260247;CMP-J0073;661040-700;;1. vydání;2005;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2;99;;;;;;VOLNÁ;;;;;;;;;;
Foundations and Trends in Computer Graphics and Vision Vol.1;;;Journal;CMP;;;CMP-J0074;;;;2005;now Publishers Inc.;USA;1572-2740;1,2/3;1;;;;;;VOLNÁ;;;;;;;;;;
Graphical Models Vol.67;;;Journal;CMP;;;CMP-J0075;;;1. vydání;2005;Elsevier Science Publishing Co.;Holandsko;1524-0703;1,;67;;;;;;VOLNÁ;;;;;;;;;;
IEEE - Pattern Analysis and Machine Intelligence Vol.27, sada 2;;;Journal;CMP;;;CMP-J0076;;;;2005;IEEE Computer Society;USA;0162-8828;1,2,3,4,5,7,8,10,11,12;27;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.23;;;Journal;CMP;661177;260207;CMP-J0077;661177-600;;;2005;Elsevier Science Publishing Co.;Holandsko;0262-8856;1,2,3,4,5,6,7,8,9,10,11,12;23;;45846,50 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.61;;;Journal;CMP;661172;260233;CMP-J0078;661172-850;;1. vydání;2005;Springer-Verlag;Německo;0920-5691;1,2,3;61;;11373,80 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.62;;;Journal;CMP;;;CMP-J0079;;;;2005;Springer-Verlag;USA;0920-5691;1,;62;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.62;;;Journal;CMP;661172;260234;CMP-J0080;661172-860;;1. vydání;2005;Springer-Verlag;Německo;0920-5691;1/2;62;;11373,80 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.63;;;Journal;CMP;661172;260235;CMP-J0081;661172-870;;1. vydání;2005;Springer-Verlag;USA;0920-5691;1,2,3;63;;11373,80 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.64;;;Journal;CMP;661172;260236;CMP-J0082;661172-880;;1. vydání;2005;Springer-Verlag;SRN;0920-5691;1,2/3;64;;11373,80 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.65;;;Journal;CMP;661172;260237;CMP-J0083;661172-890;;;2005;Springer-Verlag;SRN;0920-5691;1-2,3;65;;11373,80 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.22;;;Journal;CMP;661011;270215;CMP-J0084;661011-310;;1. vydání;2005;Springer-Verlag;Holandsko;0924-9907;1, 2/3;22;;8058,10 Kč;;č.1 - 2x+1x reprint;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.23;;;Journal;CMP;661011;270216;CMP-J0085;661011-400;;1. vydání;2005;Springer-Verlag;Holandsko;0924-9907;1,2,3;23;;8058,10 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.93;;;Journal;CMP;661040;251558;CMP-J0086;661040-370;;1. vydání;2004;Elsevier Science Publishing Co.;USA;1077-3142;1,2,3;93;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.94;;;Journal;CMP;661040;251559;CMP-J0087;000661040-340;;1. vydání;2004;Elsevier Science Publishing Co.;USA;1077-3142;1-3;94;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.95;;;Journal;CMP;661040;251560;CMP-J0088;661040-380;;1. vydání;2004;Elsevier Science Publishing Co.;USA;1077-3142;1,2,3;95;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.96;;;Journal;CMP;661040;251561;CMP-J0089;661040-480;;1. vydání;2004;Elsevier Science Publishing Co.;Netherlands;1077-3142;1,2,3;96;;;;;;VOLNÁ;;;;;;;;;;
Graphical Models Vol.66;;;Journal;CMP;665242;251632;CMP-J0090;206700-140;;;2004;Academic Press;USA;1524-0703;1,2,3,4,6;66;;;;;;VOLNÁ;;;;;;;;;;
IEEE - Pattern Analysis and Machine Intelligence Vol.26;;;Journal;CMP;;;CMP-J0091;;;;2004;The Institute of Electrical and Electronics Engineers (IEEE);USA;0162-8828;1,2,3,4,5,6,7,8,9,10,11,12;26;;;;č.3 - 2x, č.8-2x, č.10-2x, č.11 2x;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.22;;;Journal;CMP;661177;251588;CMP-J0092;661177-510;;1. vydání;2004;Elsevier Science Publishing Co.;CZ;0262-8856;1,2,3,4,5,6,7,8,9,10,11,12,13,14;22;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.57;;;Journal;CMP;;;CMP-J0093;;;1. vydání;2004;Kluwer Academic / Plenum Publishers, New York;USA;0920-5691;1,2,3;57;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.58;;;Journal;CMP;;;CMP-J0094;;;1. vydání;2004;Kluwer Academic / Plenum Publishers, New York;Netherlands;0920-5691;1,2,3;58;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.59;;;Journal;CMP;;;CMP-J0095;;;1. vydání;2004;Kluwer Academic Publishers;Netherlands;0920-5691;1,2,3;59;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.60;;;Journal;CMP;;;CMP-J0096;;;1. vydání;2004;Kluwer Academic Publishers;USA;0920-5691;1,2,3;60;;;;1,2 duplikáty;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.56;;;Journal;CMP;;;CMP-J0097;;;1. vydání;2004;Kluwer Academic / Plenum Publishers, New York;Netherlands;0920-5691;1/2,3;56;;;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.20;;;Journal;CMP;661011;251597;CMP-J0098;661011-160;;1. vydání;2004;Kluwer Academic / Plenum Publishers, New York;Netherlands;0924-9907;1/2,3;20;;;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.21;;;Journal;CMP;661011;251598;CMP-J0099;661011-170;;1. vydání;2004;Kluwer Academic Publishers;Netherlands;0924-9907;1,2,3;21;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.89;;;Journal;CMP;661040;240541;CMP-J0100;BC000206050-000010;;1. vydání;2003;Academic Press;USA;1077-3142;1,2/3;89;;2618,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.90;;;Journal;CMP;661040;240542;CMP-J0101;BC000206031-000010;;;2003;Academic Press;USA;1077-3142;1,2,3;90;;2618,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.91;;;Journal;CMP;661040;240543;CMP-J0102;BC000206003-000010;;1. vydání;2003;Academic Press;USA;1077-3142;1/2,3;91;;2618,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.92;;;Journal;CMP;661040;240544;CMP-J0103;BC000206361-000010;;;2003;Academic Press;USA;1077-3142;1,2/3;92;;2618,75 Kč;;;;VOLNÁ;;;;;;;;;;
Graphical Models Vol.65;;;Journal;CMP;665242;240545;CMP-J0104;BC000206128-000010;;;2003;Academic Press;USA;1524-0703;1,2,3,4,6;65;;6230,00 Kč;;;;VOLNÁ;;;;;;;;;;
IEEE - Pattern Analysis and Machine Intelligence Vol.25 - sada 1;;;Journal;CMP;;;CMP-J0105;;;;2003;IEEE Computer Society;USA;0162-8828;1,2,3,4,5,6,8,9,11,12;25;;;;;;VOLNÁ;;;;;;;;;;
IEEE - Signal Processing, vol 51;;;Journal;CMP;;;CMP-J0106;;;1. vydání;2003;IEEE Computer Society;USA;1053-587X;7;51;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.21;;;Journal;CMP;661177;240535;CMP-J0107;BC000206045-000010;;;2003;Elsevier Science Publishing Co.;USA;0262-8856;1,2,3,4,5,6,7,8,9,10,12, 13-14;21;;35170,00 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.52;;;Journal;CMP;661172;240496;CMP-J0108;BC000206025-000010;;1. vydání;2003;Kluwer Academic Publishers;USA;0920-5691;1, 2/3;52;;11235,22 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.53;;;Journal;CMP;661172;240494;CMP-J0109;BC000206048-000010;;1. vydání;2003;Kluwer Academic Publishers;USA;0920-5691;1,2,3;53;;11235,22 Kč;;;;VOLNÁ;;;;;;;;;;
